path,label,split
data\frames\val\correct\Copy of push up 1_f00000.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00001.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00002.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00003.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00004.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00005.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00000.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00001.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00002.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00003.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00004.jpg,correct,val
data\frames\val\correct\Copy of push up 1_f00005.jpg,correct,val
data\frames\train\correct\Copy of push up 100_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 100_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 101_f00006.jpg,correct,train
data\frames\test\correct\Copy of push up 102_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 102_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 113_f00006.jpg,correct,test
data\frames\train\correct\Copy of push up 114_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 114_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00008.jpg,correct,train
