angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio_11,label
170.41437,174.72919,62.92948,55.41011,158.21208,176.74434,162.81218,167.22041,1.059752,0.97287947,0.8315284,0.8939035,0.06968934,0.17710072,0.76776654,1.1301923,0.7015534,1.1325587,0.3627675,0.29393905,correct
169.97905,174.34656,62.598927,55.313923,158.29466,175.4763,162.35931,165.62872,1.0545323,0.95722383,0.8229552,0.89691526,0.08483582,0.16883351,0.75724316,1.1395533,0.70217913,1.1286113,0.37464213,0.28995156,correct
171.08237,176.03857,62.579945,56.015343,159.11906,176.90692,163.72313,167.82446,1.0669897,0.97082376,0.8064684,0.8938408,0.07234245,0.18042141,0.7604506,1.1199625,0.7091876,1.1175287,0.3481629,0.28375965,correct
170.30402,176.16237,63.13065,56.17575,157.4964,177.04639,162.344,167.53813,1.0419527,0.9723422,0.8252652,0.8987202,0.054178905,0.17542866,0.7519779,1.1339645,0.6980466,1.1517247,0.35521758,0.3017836,correct
169.92816,175.29517,64.18459,55.251812,155.97368,176.87186,160.66649,167.18175,1.0717435,0.98461884,0.8510298,0.89175034,0.072763085,0.18753858,0.7822893,1.1370815,0.72455895,1.1428206,0.3817624,0.30900735,correct
171.71178,174.6837,63.022526,53.379738,159.60048,178.79535,163.59459,167.80383,1.0541527,0.9696274,0.80866355,0.9060936,0.09080867,0.17481832,0.74644613,1.1268435,0.6838195,1.1489825,0.36800933,0.2805801,correct
172.95523,172.71078,63.49517,52.660233,158.25401,177.81743,161.94795,166.69417,1.041262,0.95835507,0.8105952,0.89295125,0.08560899,0.17522283,0.7361664,1.1232299,0.67233145,1.134756,0.36491778,0.28325993,correct
170.06807,174.0554,63.0882,53.449764,158.13268,179.15604,162.44684,168.91121,1.0519572,0.9647885,0.8123794,0.9136073,0.07975815,0.17376862,0.7423565,1.1401862,0.6882364,1.1562631,0.36517325,0.28995368,correct
173.4443,173.7501,63.188763,53.525818,161.01306,178.61703,164.39821,168.22763,1.0663886,0.9719091,0.80488193,0.9203291,0.09482664,0.16429259,0.7539839,1.1322305,0.6728139,1.1572472,0.37239978,0.2796962,correct
172.18076,176.9783,63.366825,53.880398,160.43356,179.6299,164.16794,167.89104,1.0656604,0.9726795,0.8219698,0.9001549,0.092458785,0.17484523,0.7393836,1.1293892,0.6843231,1.1476679,0.38251722,0.29524493,correct
